paragraphs,reference_summary
"Mênggah ing wigatosipun pakêmpalan dintên punika badhe sami anyurao sêrat Mahabarata, karantên punika sêrat minulya ing dunya. Manawi ngangkah murih gampil anggènipun nyuraos, sakawit tiyang kêdah sumêrêp rumiyin ingkang kasinau wau sêrat punapa, sarta ing nalikanipun maos kadospundi anggènipun nyamêktakakên ciptanipun, karana ingkang prêlu punika panggalihipun para marsudi, punapa pancèn kapengin mangrêtos, punapa botên. Bilih sampun samêkta, mangrêtosipun dhatêng sêrat ingkang kaparsudi wau, langkung gampil tinimbang manawi kalintu anggèning nyamêktakakên panggalihipun. Upami jêngandika kapengin priksa dhatêng salah satunggaling kawontênan, kawontênan wau kêdah titi anggèn jêngandika ningali, sampun ngantos kirang waspada, kêdah jêngandika ajêngakên, nanging sampun ngantos kasingkur, sarta kêdah dipun raosakên sayêktos. Makatên ugi tumraping cipta, paningaling cipta kêdah dipun wawasakên, sarta sêrat wau dipun ajêngna.;","Pakêmpalan dintên punika nyuraos Sêrat Mahabarata, kêdah sumêrêp saha nyamêkta kanthi samêkta."
"Tiyang kêdah sumêrap kadospundi anggènipun marsudi, kadospundi wosing pikajêngipun ingkang kêdah winawas sarana cipta wau. Pramila badhe winiwitan saking anyamêktakakên cipta, tuwin anêdahakên pratitising patrap, tiyang kêdah ngangkah sagêdipun sumêrêp kadospundi pamaosipun sêrat wau.;",Tiyang kêdah nyamêkta cipta lan wosing patrap supados mangrêtos sêrat.
"Sasampunipun lajêng dipun pêndhêta saparwa-saparwa  kaupadosana, pundi ingkang prêlu, katataa ngantos turut dêdongènganipun, tuwin kêdah mangangkah sagêdipun têrang panampinipun dhatêng sadaya ingkang kawrat ing sêrat wau, sarta lêlampahanipun ingkang sami kacariyos wontên ing ngriku, pikajêngipun badhe kangge mulang tiyang golongan punapa, kadospundi pandamêlipun, tuwin punapa pangangkahipun. Kadospundi para dewa anggènipun amitulungi tiyang-tiyang wau, saha kadospundi anggènipun amambêngi. Punapadene para dewa tumut angsal punapa wontên lêlampahan ingkang kalampahan wau.;","Sasampunipun pêndhêta, têrangipun lêlampahan lan piwulang kedah sumêrêp."
"Ing dunya kathah tiyang ingkang botên pitados manawi para dewa  punika anata lêlampahan, sarta botên pitados manawi alam-alam punika tinata dening para dewa. Sintêna ingkang botên pitados dhatêng Agami Hindhu, tamtu badhe amabêni sêrat-sêrat jêngandika ingkang suksci-suksci. Dados inggih kalêbêt saperangan kawajibanipun sabên jêjaka Hindhu ngrêtos sawatawis dhatêng sêrat-sêrat suksci ing agaminipun, sampun ngantos lajêng sami rangu-rangu dening pangrêncananipun tiyang ingkang sami botên sumêrêp.;",Jêjaka Hindhu kêdah ngrêtos sêrat suksci supados botên rangu-rangu.
"Manawi tiningalan saking kawruh kasusastran, sêrat Mahabarata punika isi ajèn-ajèn ingkang agêng sangêt. Satunggal-tunggaling băngsa punika tamtu sami gadhah sêrat, pintên-pintên băngsa ingkang sangêt angluhurakên, ugi pintên-pintên băngsa ingkang ngrèmèhakên dhatêng sêratipun wau. Kathah băngsa ingkang darbe sêrat mawi sinawung lêlagon, cariyosing babad, dongengan, kawruh kasuksman tuwin agami, ingkang adamêl tuwuh-tuwuhing raos pangaji-ajinipun tiyang, punika ingkang kathah saking kawruh kasusastranipun, manawi wontên băngsa darbe sêrat-sêrat ingkang migunani, băngsa wau lajêng kaanggêp luhur dening băngsa sanès, nanging manawi botên gadhah sêrat ingkang luhur-luhur, băngsa wau tamtu kaanggêp asor, măngka botên wontên băngsa ingkang sugihipun sêrat luhur kados băngsa Hindhu.;","Mahabarata gadhah ajên luhur ing kawruh, ngluwihi sêrat bangsa sanès."
" Saèstunipun jêngandika sampun sami maos anggitanipun Omirus, pujăngga ing praja Grigkênlan, ingkang nyariyosakên lêlampahaning paprangan salêbêtipun sadasa taun. Wontên sanèsipun malih, pintên-pintên pujăngga linangkung ing bab kasuksman tuwin babad. Sarêng tiyang samangke maos sêrat wau, lajêng sami mungêl: Grigkênlan punika rumiyinipun têtela nagari agêng, katitik saking anggitanipun para pujangganipun. Wêkdal samangke tiyang kilenan sami maos sêrat-sêrat ijêngandika ingkang kasêrat ing basa Sansêkrit, sarta sami mungêl: kados punapa luhuring kasagêdanipun băngsa Hindhu ing jaman kina, dene sampun sagèd nganggit sêrat-sêrat wau. Sêrat Mahabarata punika kêkidungan ingkang luhur piyambak ing dunya, botên wontên sêrat kêkidungan ingkang sami kalihan sêrat Mahabarata. Ing ngriku kaèbêkan sadhengah ingkang prêlu dipun sumêrêpi, utawi pundi kautamèn ingkang kêdah kaparsudi. Tatêmbunganipun sêrat wau wilêd, sarta anyariyosakên lêlampahan prêlu-prêlu ingkang kêdah dipun sumêrêpi dening para jêjaka Hindhu. Saèstu kuciwa, upami tumuwuhipun jêjaka Hindhu botên sinartan kawruh pintên- pintên ingkang kawursita ing sêrat kêkidungan ingkang kaanggit sarta kagêgulang dening lêluhuripun.;","Mahabarata minangka kêkidungan luhur sangêt, ngajari piwulang agêng."
"Punika pusakanipun băngsa Arya, amila prayogi sami kasinaua. Ing sêrat wau angêmot prakawi pêrlu tigang warni,  piwulang kasusilan,  sadarsana,  aluraning lêlampahanipun.;",Pusaka Arya punika ngemot piwulang kasusilan lan lêlampahan.
" Bab piwulang kasusilan, punika pikajêngipun angrêmbag kawruh kasusilan, kados ta: lampah sae, sarta utamining pambêkan. Bilih jêngandika sinau kawruh petang, tamtu jêngandika dipun sumêrêpakên lampah-lampahipun ingkang sampun tinamtokakên. Dene manawi lampah-lampah ing panggarapipun wau sampun jêngandika sumêrêpi, sarta jêngandika têtêpi, tamtu lêrês pametang jênganika, makatên ugi tumraping piwulang kasusilan. Piwulang wau angrêmbag awon sae, pundi ingkang prayogi linampahan, saha ingkang kalintu. Wulang kasusilan botên mungêl: sira kudu bêcik, utawi: sira kudu aja ala. Ananging pamulangipun amung anêdahakên lampah-lampahipun, sarta suka têtuladan. Ingkang kacariyosakên ing ngriku pundi sae pundi ingkang dipun wastani awon, pundi ingkang kêdah jêngandika lampahi, tuwin pundi ingkang kêdah katilar. Sadaya lampah sarta wêwatonipun wau ingkang winastan piwulang kasusilan.;",Piwulang kasusilan ngajari lampah sae lan awon kanthi têtuladan.
"Sêrat Mahabarata, punika wiyaripun kados cakrawalaning piwulang kasusilan, ing ngriku pitêdah kadospundi anggènipun anglampahi. Sêrat wau marah dhatêng lare jalêr èstri ingkang sami wontên ing pamulangan, tiyang sêpuh jalêr èstri, saha mulang dhatêng sadaya wau kadospundi ingkang kêdah dipun lampahi pêpangkataning umur-umuranipun. Para brahmana, satriya, wiswa, tuwin sudra, saha tiyang ingkang botên kalêbêt wêwilanganing băngsa punapa kemawon, sadaya sami sagêd angsal pitêdah saking ing ngriku, kadospundi pamanguning wêwatakan ingkang kêdah linampahakên ing gêsangipun sadintên-dintên. Sêrat wau  anêdahakên kadospundi darmanipun ing dalêm sakadang warga, tiyang sêsemahan, bapa tuwin anak jalêr, biyung tuwin anak èstri, amarah padataning gêsang padintênan, lampahing pamulangipun sakalangkung prayogi, inggih punika kadhapur dêdongengan. Kangge lintunipun anggèning mungal: ucapira kang têmên, ing ngriku nyariyosakên lêlampahanipun tiyang pintên-pintên ingkang têmên ungêlipun, lajêng kacariyosakên kadadosaning katêmênanipun wau. Dene ingkang kangge lintuning piwulangipun: sira aja goroh, punika lajêng nyariyosakên lêlampahanipun tiyang ingkang sami rêmên goroh, tuwin kadadosanipun.;","Mahabarata ngajari wêwatakan, darmanipun warga, lan têtuladan gêsang."
"Makatên patrap pamulangipun dhatêng tiyang, murih sami amangun watak utami, dados tiyang lajêng mangrêtos sayêktos. Manawi guru jêngandika mulang wiskêndhê , guru wau tamtu anêdahakên gunggunganipun cacah ingkang kapetang. Ingkang makatên amimbuhi têranging pangrêtos andika, langkung saking manawi jêngandika metang piyambak ingkang tanpa têtuladan.;",Guru kêdah mulang kanthi têtuladan kang têrang lan sae.
